backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
EWAH,A3277_B13107,6.22056,6.21482,6.24203,3,OR_op,raw/density_r1_A3277_B13107_ewah.csv;raw/density_r2_A3277_B13107_ewah.csv;raw/density_r3_A3277_B13107_ewah.csv
Bitset-AVX512,A3277_B13107,1.73802,1.63117,1.74241,3,OR_op,raw/density_r1_A3277_B13107_bitset_avx512.csv;raw/density_r2_A3277_B13107_bitset_avx512.csv;raw/density_r3_A3277_B13107_bitset_avx512.csv
Concise,A3277_B13107,30.6088,30.5524,30.6451,3,OR_op,raw/density_r1_A3277_B13107_concise.csv;raw/density_r2_A3277_B13107_concise.csv;raw/density_r3_A3277_B13107_concise.csv
DDC,A3277_B19661,1.48758,1.48443,1.52069,3,OR_op,raw/density_r1_A3277_B19661_ddc.csv;raw/density_r2_A3277_B19661_ddc.csv;raw/density_r3_A3277_B19661_ddc.csv
CRoaring,A3277_B19661,5.50585,5.50195,5.60109,3,OR_op_conv,raw/density_r1_A3277_B19661_croaring.csv;raw/density_r2_A3277_B19661_croaring.csv;raw/density_r3_A3277_B19661_croaring.csv
WAH,A3277_B19661,4.74935,4.74021,4.84023,3,OR_op,raw/density_r1_A3277_B19661_wah.csv;raw/density_r2_A3277_B19661_wah.csv;raw/density_r3_A3277_B19661_wah.csv
EWAH,A3277_B19661,6.21742,6.17419,6.28058,3,OR_op,raw/density_r1_A3277_B19661_ewah.csv;raw/density_r2_A3277_B19661_ewah.csv;raw/density_r3_A3277_B19661_ewah.csv
Bitset-AVX512,A3277_B19661,1.75533,1.46144,1.80963,3,OR_op,raw/density_r1_A3277_B19661_bitset_avx512.csv;raw/density_r2_A3277_B19661_bitset_avx512.csv;raw/density_r3_A3277_B19661_bitset_avx512.csv
Concise,A3277_B19661,30.3188,30.271,30.3467,3,OR_op,raw/density_r1_A3277_B19661_concise.csv;raw/density_r2_A3277_B19661_concise.csv;raw/density_r3_A3277_B19661_concise.csv
DDC,A3277_B26214,1.53464,1.48897,1.57464,3,OR_op,raw/density_r1_A3277_B26214_ddc.csv;raw/density_r2_A3277_B26214_ddc.csv;raw/density_r3_A3277_B26214_ddc.csv
CRoaring,A3277_B26214,5.58675,5.50671,5.5986,3,OR_op_conv,raw/density_r1_A3277_B26214_croaring.csv;raw/density_r2_A3277_B26214_croaring.csv;raw/density_r3_A3277_B26214_croaring.csv
WAH,A3277_B26214,4.81689,4.7579,4.86166,3,OR_op,raw/density_r1_A3277_B26214_wah.csv;raw/density_r2_A3277_B26214_wah.csv;raw/density_r3_A3277_B26214_wah.csv
EWAH,A3277_B26214,6.24339,6.23155,6.25628,3,OR_op,raw/density_r1_A3277_B26214_ewah.csv;raw/density_r2_A3277_B26214_ewah.csv;raw/density_r3_A3277_B26214_ewah.csv
Bitset-AVX512,A3277_B26214,1.78218,1.56264,1.80686,3,OR_op,raw/density_r1_A3277_B26214_bitset_avx512.csv;raw/density_r2_A3277_B26214_bitset_avx512.csv;raw/density_r3_A3277_B26214_bitset_avx512.csv
Concise,A3277_B26214,30.3082,30.2464,30.3227,3,OR_op,raw/density_r1_A3277_B26214_concise.csv;raw/density_r2_A3277_B26214_concise.csv;raw/density_r3_A3277_B26214_concise.csv
DDC,A3277_B32768,1.52566,1.46897,1.54081,3,OR_op,raw/density_r1_A3277_B32768_ddc.csv;raw/density_r2_A3277_B32768_ddc.csv;raw/density_r3_A3277_B32768_ddc.csv
CRoaring,A3277_B32768,5.58528,5.52249,5.59885,3,OR_op_conv,raw/density_r1_A3277_B32768_croaring.csv;raw/density_r2_A3277_B32768_croaring.csv;raw/density_r3_A3277_B32768_croaring.csv
WAH,A3277_B32768,4.80439,4.78261,4.85835,3,OR_op,raw/density_r1_A3277_B32768_wah.csv;raw/density_r2_A3277_B32768_wah.csv;raw/density_r3_A3277_B32768_wah.csv
EWAH,A3277_B32768,6.24014,6.23251,6.25582,3,OR_op,raw/density_r1_A3277_B32768_ewah.csv;raw/density_r2_A3277_B32768_ewah.csv;raw/density_r3_A3277_B32768_ewah.csv
Bitset-AVX512,A3277_B32768,1.78505,1.74074,1.7983,3,OR_op,raw/density_r1_A3277_B32768_bitset_avx512.csv;raw/density_r2_A3277_B32768_bitset_avx512.csv;raw/density_r3_A3277_B32768_bitset_avx512.csv
Concise,A3277_B32768,30.3614,30.3237,30.4188,3,OR_op,raw/density_r1_A3277_B32768_concise.csv;raw/density_r2_A3277_B32768_concise.csv;raw/density_r3_A3277_B32768_concise.csv
